Trendkanal Tage: Tagesbalken Ausgabe tage-0 --teil 0/4, Start 09.09.2026  8:48:54,63 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-09T06:48:54.836Z  START trendkanal-tage-2026-09-08/v1/4x2x2x4x4x4+topf61+kurs | 1826 Reihen (7299 Aktien, ausgeschlossen {"ETF":694,"ETN":7,"ETV":35,"FUND":16,"ETS":4,"ohne Art":1,"TEST":1,"UNIT":1}) | Tage 2680 | Teil 0/4
2026-09-09T06:49:06.697Z  SPY        11 Dateien  2680 Tage   107 MB  11861 ms
2026-09-09T06:49:13.147Z  A          11 Dateien  2680 Tage    49 MB   6450 ms
2026-09-09T06:49:13.259Z  AACB        2 Dateien    57 Tage     0 MB    112 ms
2026-09-09T06:49:14.065Z  AADI        5 Dateien   892 Tage     5 MB    806 ms
2026-09-09T06:49:14.229Z  AAM         3 Dateien    81 Tage     0 MB    163 ms
2026-09-09T06:49:19.406Z  AAON       11 Dateien  2680 Tage    39 MB   5176 ms
2026-09-09T06:49:30.025Z  AAPL       11 Dateien  2680 Tage    99 MB  10618 ms
2026-09-09T06:49:32.481Z  AAU         9 Dateien  1555 Tage    13 MB   2454 ms
2026-09-09T06:49:32.679Z  ABAC        4 Dateien   122 Tage     1 MB    197 ms
2026-09-09T06:49:37.015Z  ABC         8 Dateien  1926 Tage    34 MB   4335 ms
2026-09-09T06:49:37.964Z  ABCO        2 Dateien   475 Tage     6 MB    948 ms
2026-09-09T06:49:38.104Z  ABGI        3 Dateien   143 Tage     0 MB    140 ms
2026-09-09T06:49:38.323Z  ABLLL       3 Dateien   115 Tage     0 MB    218 ms
2026-09-09T06:49:42.277Z  ABNB        7 Dateien  1436 Tage    32 MB   3954 ms
2026-09-09T06:49:48.298Z  ABT        11 Dateien  2680 Tage    53 MB   6021 ms
2026-09-09T06:49:48.999Z  ABVE        6 Dateien   606 Tage     6 MB    700 ms  ausgelassen 5
2026-09-09T06:49:49.048Z  ACAB        3 Dateien    44 Tage     0 MB     49 ms
2026-09-09T06:49:49.337Z  ACAM        3 Dateien   103 Tage     1 MB    288 ms
2026-09-09T06:49:49.382Z  ACAX        3 Dateien    47 Tage     0 MB     45 ms
2026-09-09T06:49:51.196Z  ACCD        6 Dateien  1197 Tage    17 MB   1813 ms
2026-09-09T06:49:52.225Z  ACER        8 Dateien  1656 Tage     8 MB   1029 ms  ausgelassen 1
2026-09-09T06:49:57.187Z  ACGL       11 Dateien  2680 Tage    51 MB   4962 ms
2026-09-09T06:49:59.318Z  ACHN        5 Dateien  1023 Tage    15 MB   2131 ms
2026-09-09T06:50:03.427Z  ACIW       11 Dateien  2680 Tage    37 MB   4109 ms
2026-09-09T06:50:06.851Z  ACMR       10 Dateien  2188 Tage    34 MB   3424 ms
2026-09-09T06:50:06.972Z  ACPW        1 Dateien    93 Tage     1 MB    119 ms
2026-09-09T06:50:07.221Z  ACSF        3 Dateien   516 Tage     2 MB    249 ms
2026-09-09T06:50:07.398Z  ACTC        2 Dateien   133 Tage     3 MB    176 ms
2026-09-09T06:50:10.395Z  ACVA        6 Dateien  1366 Tage    21 MB   2997 ms
2026-09-09T06:50:10.496Z  ADAL        3 Dateien    44 Tage     0 MB    101 ms
2026-09-09T06:50:11.095Z  ADD         4 Dateien   685 Tage     5 MB    599 ms
2026-09-09T06:50:11.185Z  ADF         1 Dateien    51 Tage     0 MB     90 ms
2026-09-09T06:50:11.250Z  ADK         2 Dateien   164 Tage     1 MB     64 ms
2026-09-09T06:50:13.899Z  ADMS        6 Dateien  1485 Tage    16 MB   2649 ms
2026-09-09T06:50:14.262Z  ADOM        3 Dateien   485 Tage     4 MB    363 ms
2026-09-09T06:50:14.360Z  ADRT        3 Dateien   125 Tage     0 MB     98 ms
2026-09-09T06:50:14.875Z  ADTH        4 Dateien   625 Tage     4 MB    514 ms
2026-09-09T06:50:17.636Z  ADXS        6 Dateien  1503 Tage    23 MB   2761 ms  ausgelassen 4
2026-09-09T06:50:17.725Z  AEAE        4 Dateien    53 Tage     0 MB     89 ms
2026-09-09T06:50:18.917Z  AEGN        6 Dateien  1351 Tage    10 MB   1191 ms
2026-09-09T06:50:23.301Z  AEIS       11 Dateien  2680 Tage    29 MB   4383 ms
2026-09-09T06:50:29.568Z  AEO        11 Dateien  2680 Tage    51 MB   6267 ms
2026-09-09T06:50:35.988Z  AER        11 Dateien  2679 Tage    45 MB   6419 ms
2026-09-09T06:50:38.158Z  AESI        4 Dateien   873 Tage    13 MB   2170 ms
2026-09-09T06:50:40.725Z  AEZS        9 Dateien  1629 Tage    17 MB   2567 ms
2026-09-09T06:50:40.773Z  AFAQ        2 Dateien    52 Tage     0 MB     48 ms
2026-09-09T06:50:40.785Z  AFCGV       1 Dateien     1 Tage     0 MB     11 ms
2026-09-09T06:50:42.216Z  AFI         7 Dateien  1545 Tage    12 MB   1430 ms
2026-09-09T06:50:46.164Z  AFMD       10 Dateien  2271 Tage    36 MB   3948 ms
2026-09-09T06:50:53.456Z  AG         11 Dateien  2680 Tage    54 MB   7292 ms
2026-09-09T06:50:54.615Z  AGC         5 Dateien   774 Tage     7 MB   1157 ms  ausgelassen 1
2026-09-09T06:50:56.538Z  AGFS        8 Dateien  1779 Tage     9 MB   1922 ms
2026-09-09T06:51:02.816Z  AGI        11 Dateien  2680 Tage    46 MB   6277 ms
2026-09-09T06:51:05.985Z  AGL         6 Dateien  1350 Tage    29 MB   3169 ms
2026-09-09T06:51:14.003Z  AGNC       11 Dateien  2680 Tage    55 MB   8018 ms
2026-09-09T06:51:16.513Z  AGRI        5 Dateien  1080 Tage    19 MB   2510 ms
2026-09-09T06:51:18.652Z  AGTC        7 Dateien  1659 Tage    14 MB   2139 ms
2026-09-09T06:51:21.234Z  AGYS       11 Dateien  2680 Tage    16 MB   2581 ms
2026-09-09T06:51:21.776Z  AHGP        3 Dateien   604 Tage     4 MB    541 ms
2026-09-09T06:51:22.587Z  AHP         3 Dateien   580 Tage     5 MB    811 ms
2026-09-09T06:51:22.619Z  AHRN        2 Dateien    35 Tage     0 MB     31 ms
2026-09-09T06:51:29.661Z  AIG        11 Dateien  2680 Tage    49 MB   7041 ms
2026-09-09T06:51:32.075Z  AIMC        8 Dateien  1819 Tage    19 MB   2413 ms
2026-09-09T06:51:32.741Z  AINC        9 Dateien   886 Tage     2 MB    666 ms
2026-09-09T06:51:33.249Z  AIRM        2 Dateien   327 Tage     4 MB    507 ms
2026-09-09T06:51:38.362Z  AIV        11 Dateien  2680 Tage    41 MB   5113 ms
2026-09-09T06:51:43.485Z  AJG        11 Dateien  2680 Tage    45 MB   5122 ms
2026-09-09T06:51:44.998Z  AKAO        4 Dateien   819 Tage    10 MB   1512 ms
2026-09-09T06:51:45.155Z  AKIC        2 Dateien    91 Tage     0 MB    157 ms
2026-09-09T06:51:47.697Z  AKRO        7 Dateien  1627 Tage    18 MB   2542 ms
2026-09-09T06:51:48.280Z  AKUS        3 Dateien   613 Tage     4 MB    582 ms
2026-09-09T06:51:48.562Z  ALAC        5 Dateien   204 Tage     1 MB    281 ms
2026-09-09T06:51:52.925Z  ALC         8 Dateien  1859 Tage    31 MB   4363 ms
2026-09-09T06:51:54.768Z  ALDR        4 Dateien   957 Tage    14 MB   1842 ms
2026-09-09T06:51:56.696Z  ALG        11 Dateien  2679 Tage    10 MB   1927 ms
2026-09-09T06:52:00.238Z  ALGT       11 Dateien  2680 Tage    26 MB   3541 ms
2026-09-09T06:52:00.872Z  ALJ         2 Dateien   377 Tage     6 MB    634 ms
2026-09-09T06:52:00.908Z  ALKSV       1 Dateien     2 Tage     0 MB     36 ms
2026-09-09T06:52:01.243Z  ALLG        3 Dateien   611 Tage     3 MB    334 ms
2026-09-09T06:52:03.237Z  ALNA        6 Dateien  1211 Tage    11 MB   1993 ms
2026-09-09T06:52:03.310Z  ALOR        2 Dateien    26 Tage     0 MB     73 ms
2026-09-09T06:52:04.233Z  ALQA        4 Dateien   556 Tage     4 MB    923 ms
2026-09-09T06:52:04.389Z  ALSA        3 Dateien    62 Tage     0 MB    156 ms
2026-09-09T06:52:04.607Z  ALTA        2 Dateien   316 Tage     1 MB    218 ms
2026-09-09T06:52:05.155Z  ALTU        4 Dateien   463 Tage     2 MB    548 ms
2026-09-09T06:52:10.013Z  ALV        11 Dateien  2680 Tage    41 MB   4858 ms
2026-09-09T06:52:15.264Z  AM         10 Dateien  2343 Tage    40 MB   5251 ms
2026-09-09T06:52:22.592Z  AMAT       11 Dateien  2680 Tage    58 MB   7328 ms
