Trendkanal Tage: Tagesbalken Ausgabe tage-1 --teil 1/4, Start 09.09.2026  8:48:54,70 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-09T06:50:47.846Z  AIPT        2 Dateien   243 Tage     1 MB    369 ms
2026-09-09T06:50:51.105Z  AIT        11 Dateien  2679 Tage    24 MB   3259 ms
2026-09-09T06:50:51.190Z  AIXG        1 Dateien   178 Tage     0 MB     85 ms
2026-09-09T06:50:55.067Z  AJRD        8 Dateien  1904 Tage    26 MB   3877 ms
2026-09-09T06:50:56.654Z  AKCA        4 Dateien   816 Tage     8 MB   1587 ms
2026-09-09T06:50:57.177Z  AKLI        3 Dateien   424 Tage     2 MB    523 ms
2026-09-09T06:50:59.679Z  AKRX        5 Dateien  1109 Tage    19 MB   2502 ms
2026-09-09T06:51:00.510Z  AKYA        5 Dateien  1060 Tage     6 MB    830 ms
2026-09-09T06:51:06.864Z  ALB        11 Dateien  2680 Tage    51 MB   6353 ms
2026-09-09T06:51:07.401Z  ALCC        4 Dateien   393 Tage     2 MB    536 ms
2026-09-09T06:51:08.031Z  ALDW        3 Dateien   527 Tage     3 MB    630 ms
2026-09-09T06:51:11.386Z  ALGM        7 Dateien  1465 Tage    24 MB   3354 ms
2026-09-09T06:51:13.823Z  ALHC        6 Dateien  1364 Tage    20 MB   2437 ms
2026-09-09T06:51:14.946Z  ALJJ        7 Dateien  1175 Tage     4 MB   1121 ms  ausgelassen 3
2026-09-09T06:51:17.066Z  ALKT        6 Dateien  1352 Tage    16 MB   2120 ms
2026-09-09T06:51:20.348Z  ALLK        8 Dateien  1715 Tage    20 MB   3281 ms
2026-09-09T06:51:26.349Z  ALNY       11 Dateien  2679 Tage    42 MB   6000 ms
2026-09-09T06:51:26.521Z  ALPA        3 Dateien    38 Tage     0 MB    171 ms
2026-09-09T06:51:27.389Z  ALR         4 Dateien   676 Tage     7 MB    868 ms  ausgelassen 4
2026-09-09T06:51:28.407Z  ALSK        6 Dateien  1201 Tage     6 MB   1018 ms
2026-09-09T06:51:30.182Z  ALTM        7 Dateien  1104 Tage    14 MB   1775 ms  ausgelassen 1
2026-09-09T06:51:30.337Z  ALU         1 Dateien    36 Tage     0 MB    155 ms
2026-09-09T06:51:32.961Z  ALVR        6 Dateien  1154 Tage    18 MB   2624 ms
2026-09-09T06:51:35.302Z  AMAG        5 Dateien  1226 Tage    17 MB   2341 ms
2026-09-09T06:51:40.262Z  AMBA       11 Dateien  2680 Tage    40 MB   4960 ms
2026-09-09T06:51:40.672Z  AMCC        2 Dateien   269 Tage     3 MB    410 ms
2026-09-09T06:51:45.128Z  AMCX       11 Dateien  2680 Tage    36 MB   4455 ms
2026-09-09T06:51:48.985Z  AMED       10 Dateien  2418 Tage    27 MB   3856 ms
2026-09-09T06:51:55.807Z  AMGN       11 Dateien  2680 Tage    54 MB   6821 ms
2026-09-09T06:51:57.215Z  AMK         6 Dateien  1290 Tage     7 MB   1408 ms
2026-09-09T06:52:01.757Z  AMN        11 Dateien  2679 Tage    37 MB   4541 ms
2026-09-09T06:52:08.592Z  AMP        11 Dateien  2680 Tage    43 MB   6835 ms
2026-09-09T06:52:09.923Z  AMPS        5 Dateien   838 Tage    12 MB   1330 ms
2026-09-09T06:52:11.026Z  AMRH        4 Dateien   703 Tage     7 MB   1103 ms
2026-09-09T06:52:16.359Z  AMRX       11 Dateien  2678 Tage    39 MB   5333 ms
2026-09-09T06:52:18.375Z  AMSWA       9 Dateien  2201 Tage    13 MB   2016 ms
2026-09-09T06:52:19.202Z  AMTI        4 Dateien   894 Tage     6 MB    827 ms
2026-09-09T06:52:19.801Z  AMYT        4 Dateien   477 Tage     2 MB    598 ms
2026-09-09T06:52:19.850Z  ANABV       1 Dateien     1 Tage     0 MB     47 ms
2026-09-09T06:52:20.069Z  ANCN        3 Dateien   266 Tage     1 MB    218 ms
2026-09-09T06:52:20.757Z  ANDV        2 Dateien   294 Tage     5 MB    687 ms
2026-09-09T06:52:26.216Z  ANF        11 Dateien  2680 Tage    48 MB   5458 ms
2026-09-09T06:52:28.765Z  ANH         6 Dateien  1312 Tage    16 MB   2549 ms
2026-09-09T06:52:28.867Z  ANSC        3 Dateien   105 Tage     0 MB    102 ms
2026-09-09T06:52:30.055Z  ANW         3 Dateien   717 Tage     7 MB   1187 ms
2026-09-09T06:52:30.481Z  AOI         3 Dateien   643 Tage     3 MB    426 ms
2026-09-09T06:52:35.757Z  AOS        11 Dateien  2679 Tage    44 MB   5276 ms
2026-09-09T06:52:40.037Z  APAM       11 Dateien  2679 Tage    35 MB   4279 ms
2026-09-09T06:52:43.357Z  APDN       10 Dateien  2179 Tage    27 MB   3320 ms
2026-09-09T06:52:43.799Z  APFH        2 Dateien   226 Tage     3 MB    441 ms
2026-09-09T06:52:44.006Z  APGN        2 Dateien   233 Tage     1 MB    207 ms
2026-09-09T06:52:44.227Z  APIC        1 Dateien   217 Tage     2 MB    221 ms
2026-09-09T06:52:48.491Z  APLS       10 Dateien  2137 Tage    31 MB   4264 ms
2026-09-09T06:52:53.745Z  APO        11 Dateien  2680 Tage    46 MB   5253 ms
2026-09-09T06:52:56.398Z  APP         6 Dateien  1351 Tage    29 MB   2652 ms
2026-09-09T06:53:00.723Z  APPS       11 Dateien  2608 Tage    42 MB   4325 ms
2026-09-09T06:53:05.838Z  APRN        7 Dateien  1604 Tage    44 MB   5114 ms
2026-09-09T06:53:08.299Z  APTO       10 Dateien  2015 Tage    25 MB   2461 ms
2026-09-09T06:53:10.075Z  APU         4 Dateien   915 Tage    10 MB   1776 ms
2026-09-09T06:53:10.148Z  AQBTV       1 Dateien     3 Tage     0 MB     73 ms
2026-09-09T06:53:12.990Z  AQUA        7 Dateien  1397 Tage    20 MB   2842 ms
2026-09-09T06:53:14.295Z  ARAV        7 Dateien  1193 Tage     8 MB   1305 ms
2026-09-09T06:53:18.514Z  ARCB       11 Dateien  2680 Tage    28 MB   4218 ms
2026-09-09T06:53:18.642Z  ARCK        3 Dateien    41 Tage     0 MB    126 ms
2026-09-09T06:53:19.625Z  ARD         5 Dateien  1148 Tage     6 MB    982 ms
2026-09-09T06:53:24.526Z  ARDX       11 Dateien  2679 Tage    38 MB   4900 ms
2026-09-09T06:53:25.820Z  AREX        4 Dateien   970 Tage    10 MB   1294 ms
2026-09-09T06:53:25.910Z  ARGU        2 Dateien    31 Tage     0 MB     90 ms
2026-09-09T06:53:26.456Z  ARII        3 Dateien   737 Tage     5 MB    546 ms
2026-09-09T06:53:28.896Z  ARM         4 Dateien   743 Tage    21 MB   2440 ms
2026-09-09T06:53:32.300Z  ARNA        7 Dateien  1558 Tage    25 MB   3403 ms
2026-09-09T06:53:32.402Z  ARPI        1 Dateien    39 Tage     0 MB    102 ms
2026-09-09T06:53:40.209Z  ARR        11 Dateien  2680 Tage    62 MB   7807 ms
2026-09-09T06:53:40.615Z  ARTA        2 Dateien    76 Tage     0 MB    405 ms
2026-09-09T06:53:44.833Z  ARVN        9 Dateien  1991 Tage    24 MB   4217 ms
2026-09-09T06:53:45.253Z  ARYA        4 Dateien   170 Tage     1 MB    420 ms
2026-09-09T06:53:47.159Z  AS          3 Dateien   647 Tage    12 MB   1906 ms
2026-09-09T06:53:47.447Z  ASAQ        3 Dateien   228 Tage     1 MB    288 ms
2026-09-09T06:53:51.673Z  ASC        11 Dateien  2679 Tage    28 MB   4226 ms
2026-09-09T06:53:51.970Z  ASFI        5 Dateien   436 Tage     1 MB    297 ms
2026-09-09T06:53:57.922Z  ASML       11 Dateien  2680 Tage    51 MB   5952 ms
2026-09-09T06:54:01.680Z  ASO         7 Dateien  1484 Tage    26 MB   3758 ms
2026-09-09T06:54:02.629Z  ASPU        7 Dateien  1117 Tage     6 MB    948 ms  ausgelassen 2
2026-09-09T06:54:05.153Z  ASTH       10 Dateien  2160 Tage    16 MB   2524 ms
2026-09-09T06:54:05.343Z  ASV         3 Dateien   269 Tage     0 MB    190 ms
2026-09-09T06:54:06.839Z  AT          6 Dateien  1350 Tage    12 MB   1496 ms
2026-09-09T06:54:06.919Z  ATAQ        3 Dateien    64 Tage     0 MB     79 ms
2026-09-09T06:54:10.491Z  ATEC       11 Dateien  2349 Tage    29 MB   3571 ms
2026-09-09T06:54:14.180Z  ATGE       10 Dateien  2198 Tage    25 MB   3687 ms
2026-09-09T06:54:16.050Z  ATHN        5 Dateien   883 Tage    11 MB   1870 ms  ausgelassen 1
2026-09-09T06:54:16.912Z  ATIP        5 Dateien   817 Tage    10 MB    861 ms  ausgelassen 1
2026-09-09T06:54:17.005Z  ATLS        1 Dateien    41 Tage     0 MB     93 ms
2026-09-09T06:54:17.120Z  ATMV        3 Dateien    78 Tage     0 MB    115 ms
2026-09-09T06:54:17.591Z  ATON        2 Dateien   157 Tage     2 MB    471 ms
2026-09-09T06:54:19.971Z  ATRS        7 Dateien  1609 Tage    21 MB   2379 ms
2026-09-09T06:54:24.302Z  ATUS        9 Dateien  2115 Tage    36 MB   4331 ms
2026-09-09T06:54:25.508Z  ATW         2 Dateien   444 Tage     8 MB   1206 ms
2026-09-09T06:54:32.578Z  AU         11 Dateien  2680 Tage    54 MB   7070 ms
2026-09-09T06:54:33.090Z  AUGX        4 Dateien   639 Tage     4 MB    512 ms
2026-09-09T06:54:39.383Z  AUPH       11 Dateien  2574 Tage    40 MB   6293 ms
