Signalstudie Minuten: Ausgabe voll-1-5m-15m --teil 1/8 --zeitrahmen 5m 15m, Start 07.09.2026 20:34:55,10 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-07T18:34:56.662Z  START signale-minuten-2026-09-06/v4/13x3x3x4x3+kurs | 913 Reihen (7299 Aktien, ausgeschlossen {"ETF":694,"ETN":7,"ETV":35,"FUND":16,"ETS":4,"ohne Art":1,"TEST":1,"UNIT":1}) | 13 Detektoren | Tage 2680 | Bestaetigung ab 2023-02-07 | Teil 1/8
2026-09-07T18:34:56.663Z  ZEITRAHMEN-TEIL: nur 5m 15m - die uebrigen Zeitrahmen muessen in einem eigenen Lauf gemessen und beim Auswerten zusammengelegt werden
2026-09-07T18:46:06.267Z  ABCB/2016       roh          50868 reg. Kerzen      0/76/78 von 252  Tagen gewertet (1m/5m/15m)     1955 Signale  219 ms lesen  7323 ms rechnen
2026-09-07T18:46:28.368Z  ABCB/2017       roh          48246 reg. Kerzen    0/215/225 von 251  Tagen gewertet (1m/5m/15m)     5624 Signale  348 ms lesen  21529 ms rechnen
2026-09-07T18:46:54.019Z  ABCB/2018       roh          59497 reg. Kerzen    0/248/249 von 251  Tagen gewertet (1m/5m/15m)     6339 Signale  554 ms lesen  24796 ms rechnen
2026-09-07T18:47:19.417Z  ABCB/2019       roh          70160 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6523 Signale  178 ms lesen  24914 ms rechnen
2026-09-07T18:47:47.717Z  ABCB/2020       roh          70424 reg. Kerzen    0/249/249 von 253  Tagen gewertet (1m/5m/15m)     6757 Signale  417 ms lesen  27547 ms rechnen
2026-09-07T18:48:13.882Z  ABCB/2021       roh          64023 reg. Kerzen    0/251/252 von 252  Tagen gewertet (1m/5m/15m)     6558 Signale  160 ms lesen  25670 ms rechnen
2026-09-07T18:48:39.640Z  ABCB/2022       roh          59624 reg. Kerzen    0/250/251 von 251  Tagen gewertet (1m/5m/15m)     6587 Signale  158 ms lesen  25264 ms rechnen
2026-09-07T18:49:05.124Z  ABCB/2023       roh          58221 reg. Kerzen    0/248/250 von 250  Tagen gewertet (1m/5m/15m)     6469 Signale  296 ms lesen  24844 ms rechnen
2026-09-07T18:49:29.443Z  ABCB/2024       roh          51159 reg. Kerzen    0/245/252 von 252  Tagen gewertet (1m/5m/15m)     6298 Signale  268 ms lesen  23776 ms rechnen
2026-09-07T18:49:53.706Z  ABCB/2025       roh          56051 reg. Kerzen    0/248/250 von 250  Tagen gewertet (1m/5m/15m)     6269 Signale  296 ms lesen  23674 ms rechnen
2026-09-07T18:50:08.730Z  ABCB/2026       roh          38258 reg. Kerzen    0/165/166 von 166  Tagen gewertet (1m/5m/15m)     4159 Signale  97 ms lesen  14701 ms rechnen
2026-09-07T18:50:09.091Z  ABIL/2016       bereinigt    10311 reg. Kerzen        0/0/0 von 247  Tagen gewertet (1m/5m/15m)        0 Signale  59 ms lesen  136 ms rechnen
2026-09-07T18:50:09.567Z  ABIL/2017       bereinigt    14954 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  161 ms lesen  256 ms rechnen
2026-09-07T18:50:09.954Z  ABIL/2018       bereinigt    22994 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  79 ms lesen  240 ms rechnen
2026-09-07T18:50:10.353Z  ABIL/2019       roh          16474 reg. Kerzen        0/0/0 von 249  Tagen gewertet (1m/5m/15m)        0 Signale  70 ms lesen  207 ms rechnen
2026-09-07T18:50:10.553Z  ABP/2022        bereinigt      613 reg. Kerzen        0/0/0 von 125  Tagen gewertet (1m/5m/15m)        0 Signale  50 ms lesen  16 ms rechnen
2026-09-07T18:50:10.610Z  ABP/2023        bereinigt      885 reg. Kerzen        0/0/0 von 156  Tagen gewertet (1m/5m/15m)        0 Signale  36 ms lesen  16 ms rechnen
2026-09-07T18:50:10.825Z  ABP/2024        bereinigt     4117 reg. Kerzen        0/0/0 von 141  Tagen gewertet (1m/5m/15m)        0 Signale  152 ms lesen  52 ms rechnen
2026-09-07T18:50:11.832Z  ABP/2025        bereinigt    38948 reg. Kerzen        0/0/0 von 250  Tagen gewertet (1m/5m/15m)        0 Signale  346 ms lesen  637 ms rechnen
2026-09-07T18:50:12.116Z  ABP/2026        roh           2885 reg. Kerzen        0/0/0 von 34   Tagen gewertet (1m/5m/15m)        0 Signale  33 ms lesen  72 ms rechnen
2026-09-07T18:50:32.907Z  ABY/2016        roh          74750 reg. Kerzen    0/203/203 von 252  Tagen gewertet (1m/5m/15m)     5446 Signale  237 ms lesen  20533 ms rechnen
2026-09-07T18:50:54.808Z  ABY/2017        roh          65441 reg. Kerzen    0/219/219 von 219  Tagen gewertet (1m/5m/15m)     5481 Signale  354 ms lesen  21100 ms rechnen
2026-09-07T18:50:55.170Z  ACAQ/2021       roh            168 reg. Kerzen        0/0/0 von 10   Tagen gewertet (1m/5m/15m)        0 Signale  26 ms lesen  3 ms rechnen
2026-09-07T18:50:55.225Z  ACAQ/2022       roh            639 reg. Kerzen        0/0/0 von 154  Tagen gewertet (1m/5m/15m)        0 Signale  21 ms lesen  31 ms rechnen
2026-09-07T18:50:55.315Z  ACAQ/2023       roh           2317 reg. Kerzen        0/0/0 von 114  Tagen gewertet (1m/5m/15m)        0 Signale  16 ms lesen  64 ms rechnen
2026-09-07T18:51:04.920Z  ACDC/2022       roh          42112 reg. Kerzen      0/85/85 von 160  Tagen gewertet (1m/5m/15m)     2310 Signale  110 ms lesen  9426 ms rechnen
2026-09-07T18:51:25.881Z  ACDC/2023       roh          73964 reg. Kerzen    0/183/183 von 250  Tagen gewertet (1m/5m/15m)     4941 Signale  377 ms lesen  20368 ms rechnen
2026-09-07T18:51:41.750Z  ACDC/2024       roh          76576 reg. Kerzen    0/122/122 von 252  Tagen gewertet (1m/5m/15m)     3332 Signale  199 ms lesen  15303 ms rechnen
2026-09-07T18:51:53.133Z  ACDC/2025       roh          74474 reg. Kerzen      0/87/87 von 250  Tagen gewertet (1m/5m/15m)     2383 Signale  325 ms lesen  10651 ms rechnen
2026-09-07T18:52:10.814Z  ACDC/2026       roh          56510 reg. Kerzen    0/143/143 von 166  Tagen gewertet (1m/5m/15m)     3943 Signale  194 ms lesen  17113 ms rechnen
2026-09-07T18:52:12.474Z  ACGN/2016       roh          70716 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  540 ms lesen  833 ms rechnen
2026-09-07T18:52:16.256Z  ACGN/2017       roh          70457 reg. Kerzen      0/19/19 von 251  Tagen gewertet (1m/5m/15m)      509 Signale  331 ms lesen  3086 ms rechnen
2026-09-07T18:52:17.900Z  ACGN/2018       roh          66448 reg. Kerzen        0/3/3 von 251  Tagen gewertet (1m/5m/15m)       81 Signale  262 ms lesen  1077 ms rechnen
2026-09-07T18:52:19.023Z  ACGN/2019       roh          41933 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  347 ms lesen  461 ms rechnen
2026-09-07T18:52:19.863Z  ACGN/2020       roh          33453 reg. Kerzen        0/0/0 von 253  Tagen gewertet (1m/5m/15m)        0 Signale  189 ms lesen  433 ms rechnen
2026-09-07T18:52:22.967Z  ACGN/2021       roh          62092 reg. Kerzen      0/14/14 von 252  Tagen gewertet (1m/5m/15m)      401 Signale  203 ms lesen  2722 ms rechnen
2026-09-07T18:52:23.615Z  ACGN/2022       roh          18699 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  82 ms lesen  234 ms rechnen
2026-09-07T18:52:23.848Z  ACGN/2023       roh           8814 reg. Kerzen        0/0/0 von 159  Tagen gewertet (1m/5m/15m)        0 Signale  48 ms lesen  95 ms rechnen
2026-09-07T18:52:24.782Z  ACLS/2016       bereinigt    53267 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  153 ms lesen  729 ms rechnen
