Signalstudie Minuten: Ausgabe voll-2-5m-15m --teil 2/8 --zeitrahmen 5m 15m, Start 07.09.2026 20:34:55,18 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-07T18:34:56.653Z  START signale-minuten-2026-09-06/v4/13x3x3x4x3+kurs | 913 Reihen (7299 Aktien, ausgeschlossen {"ETF":694,"ETN":7,"ETV":35,"FUND":16,"ETS":4,"ohne Art":1,"TEST":1,"UNIT":1}) | 13 Detektoren | Tage 2680 | Bestaetigung ab 2023-02-07 | Teil 2/8
2026-09-07T18:34:56.654Z  ZEITRAHMEN-TEIL: nur 5m 15m - die uebrigen Zeitrahmen muessen in einem eigenen Lauf gemessen und beim Auswerten zusammengelegt werden
2026-09-07T18:39:31.387Z  ABR/2016        roh          29595 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  305 ms lesen  493 ms rechnen
2026-09-07T18:39:32.757Z  ABR/2017        roh          50921 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  474 ms lesen  713 ms rechnen
2026-09-07T18:39:50.876Z  ABR/2018        roh          77989 reg. Kerzen    0/175/175 von 251  Tagen gewertet (1m/5m/15m)     4317 Signale  723 ms lesen  17115 ms rechnen
2026-09-07T18:40:16.414Z  ABR/2019        roh          85329 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6038 Signale  612 ms lesen  24401 ms rechnen
2026-09-07T18:40:46.273Z  ABR/2020        roh          91926 reg. Kerzen    0/253/253 von 253  Tagen gewertet (1m/5m/15m)     6721 Signale  758 ms lesen  28380 ms rechnen
2026-09-07T18:41:19.047Z  ABR/2021        roh          91363 reg. Kerzen    0/251/251 von 252  Tagen gewertet (1m/5m/15m)     6468 Signale  808 ms lesen  31385 ms rechnen
2026-09-07T18:41:52.142Z  ABR/2022        roh          94212 reg. Kerzen    0/249/249 von 251  Tagen gewertet (1m/5m/15m)     6609 Signale  731 ms lesen  31922 ms rechnen
2026-09-07T18:42:26.319Z  ABR/2023        roh          95671 reg. Kerzen    0/250/250 von 250  Tagen gewertet (1m/5m/15m)     6577 Signale  1514 ms lesen  32236 ms rechnen
2026-09-07T18:43:02.800Z  ABR/2024        roh          95410 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6524 Signale  1283 ms lesen  34546 ms rechnen
2026-09-07T18:43:30.409Z  ABR/2025        roh          94042 reg. Kerzen    0/250/250 von 250  Tagen gewertet (1m/5m/15m)     6545 Signale  1149 ms lesen  25964 ms rechnen
2026-09-07T18:43:49.755Z  ABR/2026        roh          62859 reg. Kerzen    0/166/166 von 166  Tagen gewertet (1m/5m/15m)     4546 Signale  903 ms lesen  17865 ms rechnen
2026-09-07T18:43:50.428Z  AC/2016         roh          12148 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  204 ms lesen  134 ms rechnen
2026-09-07T18:43:50.852Z  AC/2017         roh           9699 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  191 ms lesen  174 ms rechnen
2026-09-07T18:43:51.298Z  AC/2018         roh           7916 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  144 ms lesen  136 ms rechnen
2026-09-07T18:43:51.491Z  AC/2019         roh           2891 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  100 ms lesen  50 ms rechnen
2026-09-07T18:43:51.785Z  AC/2020         roh           7862 reg. Kerzen        0/0/0 von 253  Tagen gewertet (1m/5m/15m)        0 Signale  121 ms lesen  116 ms rechnen
2026-09-07T18:43:52.058Z  AC/2021         roh           6991 reg. Kerzen        0/0/0 von 249  Tagen gewertet (1m/5m/15m)        0 Signale  98 ms lesen  86 ms rechnen
2026-09-07T18:43:52.273Z  AC/2022         roh           2881 reg. Kerzen        0/0/0 von 245  Tagen gewertet (1m/5m/15m)        0 Signale  90 ms lesen  79 ms rechnen
2026-09-07T18:43:52.441Z  AC/2023         roh           3434 reg. Kerzen        0/0/0 von 250  Tagen gewertet (1m/5m/15m)        0 Signale  42 ms lesen  109 ms rechnen
2026-09-07T18:43:53.001Z  AC/2024         roh           2777 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  95 ms lesen  439 ms rechnen
2026-09-07T18:43:53.224Z  AC/2025         roh           1821 reg. Kerzen        0/0/0 von 168  Tagen gewertet (1m/5m/15m)        0 Signale  93 ms lesen  51 ms rechnen
2026-09-07T18:44:13.336Z  ACAS/2016       roh          84074 reg. Kerzen    0/232/232 von 252  Tagen gewertet (1m/5m/15m)     4946 Signale  1050 ms lesen  19015 ms rechnen
2026-09-07T18:44:14.075Z  ACAS/2017       roh            373 reg. Kerzen        0/1/1 von 1    Tagen gewertet (1m/5m/15m)       25 Signale  64 ms lesen  256 ms rechnen
